data_type,period,inn,indicator_name,indicator_value,source,update_date
company_info,,771234567890,short_name,"ООО \"Ромашка\"",spark,2024-01-15
company_info,,771234567890,full_name,"Общество с ограниченной ответственностью \"Ромашка\"",spark,2024-01-15
company_info,,771234567890,spark_status,Активна,spark,2024-01-15
company_info,,771234567890,internal_status,В работе,manual,2024-01-15
company_info,,771234567890,total_status,Утвержден,manual,2024-01-15
company_info,,771234567890,registry_date,2020-05-15,manual,2024-01-15
company_info,,771234567890,legal_address,"г. Москва, ул. Тверская, д. 1",spark,2024-01-15
company_info,,771234567890,production_address,"г. Москва, ул. Промышленная, д. 15",manual,2024-01-15
company_info,,771234567890,additional_site_address,"г. Москва, ул. Складская, д. 25",manual,2024-01-15
company_info,,771234567890,main_industry,Пищевая промышленность,manual,2024-01-15
company_info,,771234567890,main_subindustry,Молочная продукция,manual,2024-01-15
company_info,,771234567890,additional_industry,Логистика,manual,2024-01-15
company_info,,771234567890,additional_subindustry,Складская логистика,manual,2024-01-15
company_info,,771234567890,industry_presentations,"Презентация молочной продукции 2023",manual,2024-01-15
company_info,,771234567890,main_okved,10.51,spark,2024-01-15
company_info,,771234567890,main_okved_description,"Производство молочной продукции",spark,2024-01-15
company_info,,771234567890,production_okved,10.51.1,spark,2024-01-15
company_info,,771234567890,production_okved_description,"Производство питьевого молока",spark,2024-01-15
company_info,,771234567890,general_info,"Крупный производитель молочной продукции в ЦФО",manual,2024-01-15
company_info,,771234567890,registration_date,2015-03-20,egrul,2024-01-15
company_info,,771234567890,head,"Иванов Иван Иванович",spark,2024-01-15
company_info,,771234567890,parent_organization,"АО \"Холдинг Молочные продукты\"",spark,2024-01-15
company_info,,771234567890,parent_inn,770123456789,spark,2024-01-15
company_info,,771234567890,parent_relation_type,Дочернее общество,spark,2024-01-15
contacts,,771234567890,management_contacts,"+7 (999) 123-45-67",manual,2024-01-15
contacts,,771234567890,management_email,ceo@company.ru,manual,2024-01-15
contacts,,771234567890,employee_contact,"Петров Петр Петрович",manual,2024-01-15
contacts,,771234567890,phone,"+7 (495) 123-45-67",manual,2024-01-15
contacts,,771234567890,emergency_contact,"+7 (999) 765-43-21",manual,2024-01-15
contacts,,771234567890,website,www.company.ru,manual,2024-01-15
contacts,,771234567890,email,info@company.ru,manual,2024-01-15
status,,771234567890,support_measures,"Субсидия на развитие производства",manual,2024-01-15
